Event,Ardn_time[ms],ADC[0-1023],SiPM[mV],Deadtime[ms],Temp[C],Name
1,2486,89,21.05,0,22.94,
2,2778,131,24.54,19,22.83,
3,3126,120,23.58,24,23.15,
4,3410,79,20.03,29,23.37,
5,3604,227,38.83,34,23.58,
6,4653,369,73.42,39,23.15,
7,9024,120,23.58,44,22.72,
8,9152,175,29.94,49,22.72,
9,10494,280,48.67,54,23.05,
10,13688,99,21.91,59,23.48,
11,15535,134,24.82,64,23.15,
12,15891,159,27.66,69,23.15,
13,16901,531,160.62,74,23.15,
14,17193,131,24.54,79,22.94,
15,17635,71,19.06,84,23.15,
16,17650,280,48.67,89,23.15,
17,20510,71,19.06,94,22.94,
18,21814,216,36.85,99,23.15,
19,22746,448,112.41,104,23.15,
20,23653,344,64.67,109,23.15,
21,24262,63,17.91,114,23.15,
22,24835,560,175.34,119,23.15,
23,25114,93,21.41,124,23.15,
24,26473,352,66.89,129,23.37,
25,26846,668,291.28,134,23.05,
26,27014,103,22.23,139,23.15,
27,28940,496,144.49,144,23.15,
28,29315,209,35.61,149,22.94,
29,29351,444,109.09,154,22.83,
30,29451,472,125.87,159,23.15,
31,29635,352,66.89,164,23.15,
32,29888,318,57.28,169,23.15,
33,30271,49,15.48,174,22.94,
34,30798,63,17.91,179,23.15,
35,31186,63,17.91,184,22.94,
36,31953,134,24.82,189,23.15,
37,34540,287,50.23,194,22.94,
38,34804,96,21.67,199,23.37,
39,41246,92,21.32,204,23.15,
40,42691,319,57.64,209,23.15,
41,43590,75,19.57,214,22.94,
42,43712,152,26.78,219,23.05,
43,44487,63,17.91,224,23.15,
44,46160,521,150.31,229,23.37,
45,46276,62,17.75,234,23.37,
46,46608,240,41.21,239,23.15,
47,49005,281,48.90,244,23.37,
48,49655,465,122.12,249,23.15,
49,50625,268,46.26,254,23.15,
50,51536,62,17.75,259,23.37,
51,55006,287,50.23,264,22.72,
52,56281,73,19.32,269,22.94,
53,57639,134,24.82,274,23.15,
54,61469,323,58.48,279,23.05,
55,61543,263,45.37,284,22.72,
56,61627,57,16.93,289,23.15,
57,62430,306,54.23,294,23.15,
58,63100,280,48.67,299,23.15,
59,63543,83,20.46,304,22.72,
60,63619,78,19.92,309,23.15,
61,65173,262,45.24,314,23.15,
62,65598,291,50.97,319,22.94,
63,65710,54,16.41,324,22.72,
64,65849,347,65.45,329,23.15,
65,66514,295,51.75,334,23.15,
66,68202,56,16.76,339,23.05,
67,69273,515,147.53,344,22.94,
68,70435,540,166.11,349,22.83,
69,70658,56,16.76,354,23.48,
70,71639,63,17.91,359,23.05,
71,72751,480,130.21,364,23.15,
72,73309,51,15.86,369,23.15,
73,75245,63,17.91,374,23.15,
74,75356,462,120.87,379,23.37,
75,76162,142,25.64,384,23.15,
76,79293,263,45.37,389,23.05,
77,79442,114,23.10,394,23.26,
78,80758,71,19.06,399,23.37,
79,80811,312,55.68,404,23.37,
80,81454,551,164.56,409,23.15,
81,81736,285,49.78,414,22.94,
82,82099,89,21.05,419,23.15,
