YEAR,Car_Age,MILEAGE,CAR_PRICE,Website
2020,3,39058,22499,Autotrader
2016,7,55111,19499,Autotrader
2018,5,26357,19693,Autotrader
2022,1,34273,28427,Autotrader
2005,18,123370,5899,Autotrader
2003,20,202000,2500,Craiglist
1997,26,174000,7000,Craiglist
2012,11,85000,9500,Craiglist
2021,2,68365,26995,Craiglist
2019,4,25811,23983,Craiglist
2010,13,128457,6450,Cargurus
2013,10,91533,11888,Cargurus
2017,6,77672,17040,Cargurus
2023,0,25095,23999,Cargurus
2014,9,73572,17897,Cargurus
2011,12,128785,6988,Cargurus
2015,8,99512,11950,Cargurus
2008,15,107763,8988,Autotrader
2007,16,97612,13950,Autotrader
2009,14,99000,9995,Craiglist
