Date,Close/Last,Volume,Open,High,Low,DAY
02/24/2020,$61.76,26903120,$61.61,$62.77,$61.32,0
02/25/2020,$59.73,34495730,$61.99,$62.28,$59.46,1
02/26/2020,$59.65,26217740,$60.11,$60.82,$59.27,2
02/27/2020,$55.83,42226860,$57.93,$58.51,$55.80,3
02/28/2020,$55.52,60728000,$54.30,$56.38,$53.60,4
03/02/2020,$58.18,43140300,$55.79,$58.22,$54.52,5
03/03/2020,$55.97,49740280,$58.03,$59.02,$55.40,6
03/04/2020,$58.68,29223070,$57.01,$58.71,$56.16,7
03/05/2020,$56.96,29099160,$57.06,$58.66,$56.61,8
03/06/2020,$55.77,36259160,$55.18,$56.01,$54.54,9
03/09/2020,$50.85,56196980,$51.92,$52.71,$50.00,10
03/10/2020,$53.98,36568950,$52.76,$54.00,$50.43,11
03/11/2020,$51.66,38573960,$52.39,$53.54,$51.01,12
03/12/2020,$45.54,50661750,$47.99,$50.09,$45.37,13
03/13/2020,$54.43,48805060,$48.26,$55.00,$47.74,14
03/16/2020,$44.61,53878940,$47.51,$52.25,$43.63,15
03/17/2020,$50.08,52085160,$45.76,$51.63,$45.20,16
03/18/2020,$47.61,49309880,$46.71,$50.05,$45.20,17
03/19/2020,$45.94,44538030,$47.84,$49.23,$45.16,18
03/20/2020,$45.83,52344050,$46.51,$49.42,$45.47,19
03/23/2020,$49.58,46698480,$46.02,$50.49,$45.91,20
03/24/2020,$52.40,50019750,$53.14,$54.64,$51.35,21
03/25/2020,$51.26,41106060,$52.48,$53.79,$49.91,22
03/26/2020,$55.54,41475410,$51.74,$55.95,$51.66,23
03/27/2020,$52.37,31633490,$53.42,$54.64,$52.07,24
03/30/2020,$55.49,31628610,$52.99,$56.10,$52.83,25
03/31/2020,$54.12,48081860,$55.06,$55.80,$53.22,26
04/01/2020,$51.88,29586560,$52.50,$54.69,$51.43,27
04/02/2020,$54.35,27809990,$51.29,$54.56,$51.22,28
04/03/2020,$54.13,23906060,$53.85,$55.13,$52.73,29
04/06/2020,$58.43,32323390,$56.63,$58.77,$56.12,30
04/07/2020,$58.40,41410010,$59.94,$61.49,$58.21,31
04/08/2020,$58.98,26719500,$58.99,$59.51,$57.91,32
04/09/2020,$57.14,40515420,$59.36,$59.72,$56.06,33
04/13/2020,$58.70,23251940,$56.57,$58.77,$56.57,34
04/14/2020,$60.66,25673990,$60.04,$60.90,$59.51,35
04/15/2020,$58.87,22841550,$59.74,$59.83,$58.39,36
04/16/2020,$60.79,24433520,$59.61,$60.96,$58.81,37
04/17/2020,$60.36,27385640,$62.02,$62.13,$59.83,38
04/20/2020,$59.18,26419610,$59.28,$60.04,$58.89,39
