Event,Ardn_time[ms],ADC[0-1023],SiPM[mV],Deadtime[ms],Temp[C],Name
1,3422,199,33.86,0,22.83,
2,3463,270,46.71,5,22.83,
3,3935,76,19.69,10,23.15,
4,4484,61,17.60,15,22.72,
5,5924,204,34.73,20,23.15,
6,9970,287,50.23,25,23.15,
7,11606,140,25.42,30,23.37,
8,12465,268,46.26,35,23.15,
9,13661,47,15.10,40,22.83,
10,13814,415,95.00,45,22.83,
11,14265,79,20.03,50,22.94,
12,14590,519,154.30,55,22.94,
13,14635,273,47.25,60,23.15,
14,15105,536,160.18,65,23.15,
15,15407,56,16.76,70,23.15,
16,15907,61,17.60,75,22.72,
17,16592,307,54.48,80,22.94,
18,17816,115,23.18,85,22.83,
19,19089,313,56.02,90,22.83,
20,21691,51,15.86,95,23.15,
21,23075,120,23.58,100,22.83,
22,23236,540,166.11,105,23.15,
23,24929,199,33.86,110,23.15,
24,25577,61,17.60,115,23.15,
25,25586,63,17.91,120,22.72,
26,25899,60,17.43,125,23.15,
27,29005,71,19.06,130,23.15,
28,29376,59,17.27,135,22.62,
29,30740,211,35.96,140,23.15,
30,31060,78,19.92,145,23.15,
31,32884,83,20.46,150,23.15,
32,33981,62,17.75,155,23.05,
33,36582,59,17.27,160,22.72,
34,37502,140,25.42,165,23.15,
35,40224,217,37.04,170,23.05,
36,41216,496,144.49,175,23.15,
37,44025,229,39.22,180,22.94,
38,44672,199,33.86,185,22.94,
39,44914,339,62.98,190,22.72,
40,47027,112,22.94,195,22.94,
41,50243,146,26.08,200,23.15,
42,51055,133,24.73,205,22.94,
43,51497,307,54.48,210,22.72,
44,53121,463,119.23,215,23.15,
45,53829,318,57.28,220,22.94,
46,54443,227,38.83,225,23.15,
47,54848,184,31.36,230,23.15,
48,54915,101,22.08,235,23.15,
49,56579,736,412.77,240,23.15,
50,57212,387,81.05,245,23.05,
51,60220,121,23.66,250,23.15,
52,61461,97,21.75,255,22.83,
53,61721,103,22.23,260,23.05,
54,62899,61,17.60,265,22.83,
55,64502,56,16.76,270,23.15,
56,65115,287,50.23,275,23.15,
